feature,importance
LD_TDW_finsih0_4_count,8
AA,8
FW,8
tdo_n_4_8,8
o_n_2_1,8
sh,8
TS,8
PDM_P_finsih0_4_count,8
old_2048_RT_RST,7
new_32_NDS_P,7
new_1_FW_LD,7
subnew_4,7
TR,7
new_1_EX_P,7
old_value_1,7
old_2048_PDM_C,7
new_2048_BRTL_C,7
HS,7
o_n_1_4,7
old_value_32,7
TR_HCXI_finsih0_4_count,6
old_8_STG_V,6
old_4_EXM_P,6
new_4_RT_RST,6
new_2048_PDM_C,6
o_n_4_8,6
tdnew_4,6
old_2048_TB_A,6
old_8_RU_HCDC,6
old_1_NDS_P,6
new_32_STG_V,6
old_1_EXM_P,6
old_16_RT_RST,6
old_2048_EXZ_P,6
SYS_FW_finsih0_4_count,6
FW_TS_finsih0_4_count,6
TRZ_HCXI_finsih0_4_count,6
old_4_LD_TDW,6
new_2048_PDM_F,5
old_8_FW_TB,5
new_2048_STG_C,5
old_2048_STG_V,5
old_16_EL_DXP,5
old_32_NDS_P,5
SYS,5
subnew_1,5
new_16_STG_V,5
new_32_FW_TS,5
old_1_LD_TDW,5
new_8_EX_P,5
new_32_EL_DXP,5
old_1_BRTL_C,5
subo_n_1_2048,5
new_2048_STG_V,4
new_4_TB_A,4
new_32_FW_TB,4
GRP_OFB_AGENT,4
new_4_EX_A,4
EXM,4
old_2048_EX_A,4
old_value_2,4
new_32_LD_TDW,4
new_32_PDM_P,4
new_16_RT_RST,4
new_16_EX_P,4
new_16_NDS_P,4
old_1_EXM_T,4
tdo_n_32_1,4
old_32_RU_P,4
new_2048_EXM_P,4
subo_n_2048_8,4
EXM_A_finsih0_4_count,4
old_8_RU_P,4
SYS_FS_finsih0_4_count,4
GRP_TD_AGENT,4
STG,4
new_1_FW_TB,4
old_8_FW_LD,4
weekday_5,3
old_2048_RF_RST,3
new_4_EXZ_T,3
EX,3
old_2048_NDS_C,3
new_32_EX_T,3
new_4_RU_P,3
ARTP,3
python,3
new_2048_RT_RST,3
new_2048_SYS_FS,3
new_4_EX_T,3
new_2048_LD_TDW,3
new_2048_EXZ_P,3
TDSQLLoader.pl,3
new_16_EXM_P,3
old_1_PDM_C,3
old_8_NDS_P,3
old_8_RT_RST,3
old_1_TS_HEES,3
old_8_LD_TDW,3
0a,3
weekday_5,2
new_32_STG_C,2
old_8_EXM_P,2
tdo_n_8_32,2
new_1_EX_T,2
new_1_LD_TDW,2
SUB,2
old_4_EXM_A,2
Job,2
old_2_SYS_FS,2
old_8_FW_TS,2
new_16_TB_A,2
old_8_EXZ_A,2
new_4_LD_TDW,2
ARTC,2
new_8_SYS_FS,2
subnew_32,2
new_32_FW_LD,2
tdnew_16,2
new_2048_NDS_C,2
old_32_RT_RST,2
old_8_EXM_A,2
new_4_RU_HCDC,2
old_8_EL_DXP,2
old_2048_EXZ_A,2
new_32_SYS_FS,2
old_1_EXM_A,2
old_8_EXM_T,2
old_1_STG_C,2
old_32_RF_RST,1
new_2048_RF_RST,1
new_4_TS_HEES,1
old_2_FW_TS,1
new_2048_EXZ_T,1
old_2_FW_TB,1
subo_n_4_8,1
new_8_EXZ_T,1
new_16_BRTL_C,1
old_1_NDS_C,1
old_1_PDM_F,1
new_16_RF_RST,1
new_8_EX_A,1
new_8_EXM_T,1
new_8_TB_A,1
new_8_EXZ_A,1
old_1_PDM_P,1
new_32_EX_P,1
new_8_EX_T,1
tdo_n_2_1,1
day_14_bef_no_end_time,1
new_2048_EXM_T,1
old_8_EXZ_T,1
TRZ,1
old_1_SYS_FW,1
GRP_FS_AGENT,1
new_16_LD_TDW,1
NDS,1
old_8_TS_HEES,1
new_2048_NDS_P,1
old_8_NDS_C,1
old_8_EX_T,1
old_8_PDM_F,1
old_8_PDM_P,1
touch,1
old_8_EX_A,1
new_2048_EX_A,1
new_16_EX_T,1
o_n_32_1,1
new_2048_PDM_P,1
new_4_FW_TS,1
new_4_FW_TB,1
new_4_EX_P,1
subo_n_8_16,1
new_4_FW_LD,1
new_8_BRTL_C,1
old_8_RF_RST,1
new_16_FW_TB,1
cmd_other,1
new_1_STG_V,1
weekday_0,0
new_16_PDM_F,0
new_16_TS_HEES,0
new_16_EL_DXP,0
new_16_PDM_C,0
new_16_NDS_C,0
new_16_EXM_T,0
new_2048_TS_HEES,0
new_16_EXM_A,0
new_32_RT_RST,0
new_32_RF_RST,0
new_32_RU_P,0
new_32_RU_HCDC,0
old_value_8,0
new_2048_EX_P,0
day_7_bef_no_end_time,0
new_2048_EXZ_A,0
Dummy,0
new_value_2,0
new_2048_EX_T,0
new_2048_TB_A,0
new_16_PDM_P,0
new_2048_EXM_A,0
all_finsat_0_4_count,0
new_1_RU_HCDC,0
new_16_STG_C,0
TRM,0
new_4_EXZ_P,0
new_1_EL_DXP,0
new_1_NDS_P,0
cmd_none,0
new_1_FW_TS,0
new_1_RU_P,0
new_1_RF_RST,0
new_1_RT_RST,0
BFMC,0
FR,0
HEES,0
old_2048_EX_P,0
RSM,0
old_32_RU_HCDC,0
10.6.123.51,0
new_16_EXZ_A,0
old_8_BRTL_C,0
old_8_PDM_C,0
old_8_STG_C,0
old_8_EXZ_P,0
old_8_SYS_FW,0
othernode,0
o_n_4_2048,0
o_n_8_16,0
o_n_8_32,0
tdo_n_2048_4,0
tdo_n_4_2048,0
tdo_n_8_16,0
subo_n_32_1,0
subo_n_8_32,0
new_4_EXZ_A,0
new_4_EXM_P,0
new_4_EXM_T,0
new_4_EXM_A,0
new_16_EX_A,0
new_16_EXZ_P,0
new_16_FW_TS,0
TDDMCheck.pl,0
new_16_EXZ_T,0
new_16_SYS_FW,0
TDDQCCheck.pl,0
new_16_SYS_FS,0
new_8_EXM_A,0
new_8_EL_DXP,0
new_8_TS_HEES,0
new_8_NDS_C,0
new_8_NDS_P,0
new_8_PDM_F,0
new_8_PDM_C,0
new_8_EXM_P,0
new_8_RU_HCDC,0
new_8_PDM_P,0
new_8_STG_C,0
new_8_STG_V,0
new_8_LD_TDW,0
new_8_EXZ_P,0
new_8_FW_TS,0
new_8_RU_P,0
new_8_FW_TB,0
new_8_SYS_FW,0
new_8_FW_LD,0
new_8_RF_RST,0
new_8_RT_RST,0
his_evet_count_null,
